timestamp,Starboard Thermal Radiator Rotating Joint (TRRJ) Position [°],Loop A (Stbd) Pump Flowrate [kg/hr],Loop A (Stbd) PM Out Press [kPa],Loop A (Stbd) PM Out Temp [°C]
1751587260,24.7998,3371.6665,1951.6134,4.01456
1751587320,24.79431,3371.6665,1951.6134,3.95199
1751587380,24.7998,3371.6665,1951.6134,3.95199
1751587440,24.7998,3371.6665,1951.6134,4.01456
1751587500,24.7998,3371.6665,1951.6134,3.95199
1751587560,24.7998,3371.6665,1949.50085,3.95199
1751587620,24.7998,3371.6665,1951.6134,3.95199
1751587680,24.7998,3358.21924,1949.50085,3.95199
1751587740,24.7998,3371.6665,1949.50085,3.95199
1751587800,24.78881,3371.6665,1949.50085,3.95199
1751587860,24.7998,3358.21924,1951.6134,3.95199
1751587920,24.7998,3371.6665,1949.50085,3.95199
1751587980,24.7998,3358.21924,1951.6134,3.95199
1751588040,24.79431,3371.6665,1949.50085,3.88942
1751588100,24.78881,3385.11353,1951.6134,3.88942
1751588160,24.7998,3371.6665,1951.6134,3.88942
1751588220,24.7998,3358.21924,1951.6134,3.88942
1751588280,24.78881,3385.11353,1951.6134,3.88942
1751588340,24.78881,3358.21924,1951.6134,3.95199
1751588400,24.79431,3371.6665,1951.6134,3.95199
1751588460,24.7998,3385.11353,1953.72595,3.95199
1751588520,24.7998,3371.6665,1953.72595,4.01456
1751588580,24.78881,3371.6665,1953.72595,3.95199
1751588640,24.7998,3371.6665,1951.6134,4.01456
1751588700,24.7998,3371.6665,1953.72595,4.01456
1751588760,24.7998,3385.11353,1951.6134,3.88942
1751588820,24.78881,3385.11353,1953.72595,3.88942
1751588880,24.7998,3385.11353,1953.72595,3.88942
1751588940,24.79431,3358.21924,1953.72595,3.95199
1751589000,24.78881,3358.21924,1953.72595,3.95199
1751589060,24.78881,3385.11353,1953.72595,3.95199
1751589120,24.78881,3371.6665,1953.72595,4.01456
1751589180,24.7998,3371.6665,1951.6134,3.95199
1751589240,24.7998,3385.11353,1951.6134,3.95199
1751589300,24.7998,3385.11353,1949.50085,3.95199
1751589360,24.78881,3358.21924,1949.50085,3.88942
1751589420,24.78881,3358.21924,1947.38831,3.88942
1751589480,24.7998,3385.11353,1947.38831,3.88942
1751589540,24.79431,3385.11353,1945.27576,3.76427
1751589600,24.78881,3358.21924,1945.27576,3.76427
1751589660,24.79431,3385.11353,1943.16321,3.63913
1751589720,24.79431,3371.6665,1941.05066,3.57656
1751589780,24.7998,3385.11353,1941.05066,3.45141
1751589840,24.7998,3385.11353,1938.93799,3.57656
1751589900,24.7998,3358.21924,1938.93799,3.63913
1751589960,24.7998,3371.6665,1938.93799,3.57656
1751590020,24.7998,3371.6665,1936.82544,3.57656
1751590080,24.78881,3358.21924,1936.82544,3.57656
1751590140,24.7998,3385.11353,1934.71289,3.57656
1751590200,24.78881,3371.6665,1934.71289,3.57656
1751590260,24.79431,3358.21924,1934.71289,3.63913
1751590320,24.7998,3385.11353,1932.60034,3.63913
1751590380,24.78881,3371.6665,1932.60034,3.63913
1751590440,24.7998,3385.11353,1932.60034,3.63913
1751590500,24.78881,3358.21924,1930.48779,3.57656
1751590560,24.78881,3371.6665,1932.60034,3.57656
1751590620,24.7998,3358.21924,1932.60034,3.63913
1751590680,24.7998,3371.6665,1930.48779,3.7017
1751590740,24.7998,3371.6665,1930.48779,3.7017
1751590800,24.7998,3358.21924,1930.48779,3.7017
1751590860,24.79431,3371.6665,1930.48779,3.7017
1751590920,24.79431,3371.6665,1930.48779,3.7017
1751590980,24.79431,3371.6665,1930.48779,3.7017
1751591040,24.79431,3371.6665,1930.48779,3.7017
1751591100,24.79431,3371.6665,1930.48779,3.7017
1751591160,24.79431,3371.6665,1930.48779,3.7017
1751591220,24.79431,3371.6665,1930.48779,3.7017
1751591280,24.79431,3371.6665,1930.48779,3.7017
1751591340,24.79431,3371.6665,1930.48779,3.7017
1751591400,24.79431,3371.6665,1930.48779,3.7017
1751591460,24.79431,3371.6665,1930.48779,3.7017
1751591520,24.78881,3385.11353,1930.48779,3.7017
1751591580,24.78881,3371.6665,1936.82544,3.7017
1751591640,24.79431,3371.6665,1936.82544,3.7017
1751591700,24.78881,3371.6665,1938.93799,3.76427
1751591760,24.79431,3371.6665,1938.93799,3.76427
1751591820,24.78881,3371.6665,1938.93799,3.82685
1751591880,24.78881,3371.6665,1941.05066,3.82685
1751591940,24.7998,3371.6665,1941.05066,3.88942
1751592000,24.78881,3358.21924,1941.05066,3.95199
1751592060,24.78881,3358.21924,1941.05066,4.01456
1751592120,24.7998,3371.6665,1941.05066,4.07714
1751592180,24.7998,3358.21924,1943.16321,4.01456
1751592240,24.78881,3358.21924,1943.16321,3.95199
1751592300,24.7998,3385.11353,1943.16321,3.95199
1751592360,24.7998,3371.6665,1945.27576,3.95199
1751592420,24.79431,3358.21924,1945.27576,3.95199
1751592480,24.78881,3371.6665,1945.27576,4.01456
1751592540,24.7998,3371.6665,1947.38831,4.01456
1751592600,24.78881,3358.21924,1947.38831,3.95199
1751592660,24.78881,3371.6665,1947.38831,4.01456
1751592720,24.7998,3371.6665,1947.38831,4.01456
1751592780,24.7998,3371.6665,1947.38831,3.95199
1751592840,24.78881,3371.6665,1947.38831,4.01456
1751592900,24.78881,3358.21924,1951.6134,4.01456
1751592960,24.7998,3358.21924,1947.38831,4.01456
1751593020,24.7998,3371.6665,1947.38831,3.88942
1751593080,24.78881,3358.21924,1947.38831,3.88942
1751593140,24.78881,3358.21924,1947.38831,3.88942
1751593200,24.78881,3371.6665,1947.38831,3.88942
1751593260,24.7998,3385.11353,1947.38831,3.88942
1751593320,24.78881,3358.21924,1947.38831,3.88942
1751593380,24.78881,3371.6665,1947.38831,3.82685
1751593440,24.7998,3371.6665,1947.38831,3.88942
1751593500,24.78881,3385.11353,1947.38831,3.88942
1751593560,24.78881,3385.11353,1947.38831,3.88942
1751593620,24.78881,3385.11353,1947.38831,3.88942
1751593680,24.78881,3385.11353,1947.38831,3.88942
1751593740,24.78881,3358.21924,1947.38831,3.95199
1751593800,24.7998,3358.21924,1949.50085,3.95199
1751593860,24.79431,3358.21924,1949.50085,3.95199
1751593920,24.7998,3371.6665,1949.50085,3.95199
1751593980,24.7998,3371.6665,1949.50085,4.01456
1751594040,24.7998,3371.6665,1951.6134,3.88942
1751594100,24.7998,3385.11353,1949.50085,3.88942
1751594160,24.79431,3371.6665,1949.50085,3.88942
1751594220,24.7998,3358.21924,1949.50085,3.88942
1751594280,24.78881,3371.6665,1949.50085,3.88942
1751594340,24.7998,3385.11353,1949.50085,3.95199
1751594400,24.78881,3358.21924,1949.50085,3.95199
1751594460,24.7998,3399.14526,1949.50085,4.01456
1751594520,24.7998,3371.6665,1951.6134,4.01456
1751594580,24.7998,3358.21924,1949.50085,3.95199
1751594640,24.7998,3371.6665,1949.50085,3.95199
1751594700,24.79431,3358.21924,1949.50085,3.95199
1751594760,24.78881,3371.6665,1949.50085,3.88942
1751594820,24.7998,3385.11353,1949.50085,3.82685
1751594880,24.7998,3371.6665,1947.38831,3.82685
1751594940,24.7998,3371.6665,1947.38831,3.76427
1751595000,24.7998,3358.21924,1945.27576,3.7017
1751595060,24.78881,3371.6665,1943.16321,3.63913
1751595120,24.7998,3371.6665,1943.16321,3.63913
1751595180,24.78881,3371.6665,1941.05066,3.63913
