timestamp,SSRMS SR Measured Joint Position [°],SSRMS SY Measured Joint Position [°],SSRMS SP Measured Joint Position [°],SSRMS EP Measured Joint Position [°],SSRMS WP Measured Joint Position [°],SSRMS WY Measured Joint Position [°],SSRMS WR Measured Joint Position [°]
1751587260,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751587320,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751587380,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751587440,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751587500,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751587560,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751587620,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751587680,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751587740,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751587800,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751587860,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751587920,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751587980,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588040,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588100,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588160,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588220,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588280,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588340,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588400,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588460,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588520,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588580,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588640,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588700,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588760,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588820,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588880,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751588940,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589000,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589060,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589120,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589180,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589240,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589300,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589360,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589420,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589480,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589540,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589600,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589660,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589720,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589780,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589840,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589900,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751589960,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590020,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590080,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590140,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590200,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590260,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590320,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590380,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590440,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590500,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590560,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590620,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590680,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590740,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590800,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590860,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751590920,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
